titolo_poesia,testo,label_enj
Parole,"Parole,
dove il cuore dell’uomo si specchiava",0
Parole,"dove il cuore dell’uomo si specchiava
- nudo e sorpreso - alle origini; un angolo",0
«Frutta erbaggi»,"si rivelano dolci polpe crude.

Entra un fanciullo colle gambe nude,",0
«Frutta erbaggi»,"Entra un fanciullo colle gambe nude,
imperioso, fugge via.",0
Sera di febbraio,"giorno, una sera che rapida cala.
Indifferente gioventù s'allaccia;",0
Sera di febbraio,"Indifferente gioventù s'allaccia;
sbanda a povere mète.",0
Amai,"amore,
la più antica difficile del mondo.",0
Amai,"Amai la verità che giace al fondo,
quasi un sogno obliato, che il dolore",0
Ulisse,"sottovento sbandavano più al largo,
per fuggirne l’insidia. Oggi il mio regno",0
Ulisse,"sospinge ancora il non domato spirito,
e della vita il doloroso amore.",0
I fiumi,"Mi tengo a quest’albero mutilato
abbandonato in questa dolina",0
I fiumi,"Questo è il Serchio
al quale hanno attinto",0
I fiumi,"di gente mia campagnola
e mio padre e mia madre",0
I fiumi,"Questa è la Senna
e in quel suo torbido",0
I fiumi,"mi sono rimescolato
e mi sono conosciuto",0
L'isola,"di anziane selve assorte, scese,
e s'inoltrò",0
L'isola,"e s'inoltrò
e lo richiamò rumore di penne",0
L'isola,"sotto il liscio tepore,
altre brucavano",0
Giorno per giorno,"«Nessuno, mamma, ha mai sofferto tanto...»
E il volto già scomparso",0
Giorno per giorno,"E il volto già scomparso
ma gli occhi ancora vivi",0
Giorno per giorno,"e riempivano passeri la stanza
verso le briciole dal babbo sparse",0
Giorno per giorno,"verso le briciole dal babbo sparse
per distrarre il suo bimbo…",0
Giorno per giorno,"E discorro, lavoro,
sono appena mutato, temo, fumo…",0
Giorno per giorno,"ma ti sentivo accanto,
m’avresti consolato…",0
Giorno per giorno,"quella voce d’anima
che non seppi difendere quaggiù…",0
Giorno per giorno,"Sono tornato ai colli, ai pini amati
e del ritmo dell’aria il patrio accento",0
Giorno per giorno,"Passa la rondine e con essa estate,
e anch’io, mi dico, passerò…",0
Recitativo di Palinuro,"Per l’uragano all’apice di furia
Vicino non intesi farsi il sonno;",0
Recitativo di Palinuro,"Olio fu dilagante a smanie d’onde,
Aperto campo a libertà di pace,",0
Recitativo di Palinuro,"Avversità del corpo ebbi mortale
Ai sogni sceso dell’incerta furia",0
Recitativo di Palinuro,"Ai sogni sceso dell’incerta furia
Che annebbiava sprofondi nel suo emblema",0
Recitativo di Palinuro,"Che annebbiava sprofondi nel suo emblema
Ed, astuta amnesia, afono sonno,",0
Recitativo di Palinuro,"Non posero a risposta tregua le onde,
Non mai accanite a gara più mortale,",0
I limoni,"dai nomi poco usati: bossi ligustri o acanti.
Io, per me, amo le strade che riescono agli erbosi",0
I limoni,"le viuzze che seguono i ciglioni,
discendono tra i ciuffi delle canne",0
I limoni,"discendono tra i ciuffi delle canne
e mettono negli orti, tra gli alberi dei limoni.",0
I limoni,"si spengono inghiottite dall’azzurro:
più chiaro si ascolta il susurro",0
I limoni,"che non sa staccarsi da terra
e piove in petto una dolcezza inquieta.",0
I limoni,"Qui delle divertite passioni
per miracolo tace la guerra,",0
I limoni,"Quando un giorno da un malchiuso portone
tra gli alberi di una corte",0
Non chiederci la parola...,"Ah l’uomo che se ne va sicuro,
agli altri ed a se stesso amico,",0
Non chiederci la parola...,"agli altri ed a se stesso amico,
e l’ombra sua non cura che la canicola",0
Non chiederci la parola...,"Non domandarci la formula che mondi possa aprirti,
sì qualche storta sillaba e secca come un ramo.",0
Non chiederci la parola...,"Codesto solo oggi possiamo dirti,
ciò che non siamo, ciò che non vogliamo.",0
Ti libero la fronte dai ghiaccioli,"Ti libero la fronte dai ghiaccioli
che raccogliesti traversando l’alte",0
La casa dei doganieri,"Tu non ricordi la casa dei doganieri
sul rialzo a strapiombo sulla scogliera:",0
La casa dei doganieri,"sul rialzo a strapiombo sulla scogliera:
desolata t'attende dalla sera",0
La casa dei doganieri,"desolata t'attende dalla sera
in cui v'entrò lo sciame dei tuoi pensieri",0
La casa dei doganieri,"in cui v'entrò lo sciame dei tuoi pensieri
e vi sostò irrequieto.",0
La casa dei doganieri,"Libeccio sferza da anni le vecchie mura
e il suono del tuo riso non è più lieto:",0
L'anguilla,"dei mari freddi che lascia il Baltico
per giungere ai nostri mari,",0
L'anguilla,"che risale in profondo, sotto la piena avversa,
di ramo in ramo e poi",0
L'anguilla,"di quella che incastonano i tuoi cigli
e fai brillare intatta in mezzo ai figli",0
Piove,"sul nulla che si fa
in queste ore di sciopero",0
Piove,"e la terra non trema
perché non c'è terremoto",0
Piove,"perché non c'è terremoto
né guerra.",0
Piove,"piove sugli ossi di seppia
e sulla greppia nazionale.",0
Piove,"qui dal balcone aperto,
piove sul Parlamento,",0
Piove,"in assenza di Ermione
se Dio vuole,",0
L'angelo nero,"o angelo nero disvélati
ma non uccidermi col tuo fulgore,",0
Vento a Tìndari,"oggi m’assali
e ti chini in cuore.",0
Vento a Tìndari,"e la brigata che lieve m’accompagna
s’allontana nell’aria,",0
Lelio,"La tua tomba, bambino,
vogliamo sia sbiancata",0
Lelio,"Era un dolce rumore
che tu lasciavi al giorno",0
